ID,LONG,LAT,SETCENS,AREAP,CODDIST,DISTRITO,CODSUBPREF,SUBPREF,REGIAO5,REGIAO8,NOME,REGISTRO,ENDERECO,NUMERO,BAIRRO,REFERENCIA
106,-46.539580,-23.543666,355030820000114,3550308005077,20,CARRAO,26,ARICANDUVA I FORMOSA I CARRAO,Leste,Leste 1,VILA MANCHESTER,6129-8,PC HAROLDO DALTRO,S/N,VL MANCHESTER,
364,-46.725584,-23.435834,355030842000277,3550308005309,41,JARAGUA,2,PIRITUBA / JARAGUA,Norte,Norte 1,JARDIM RINCAO,6138-7,RUA DR CARMELO D'AGOSTINHO,S/N,JD RINCAO,ESTRADA DE TAIPAS
451,-46.669057,-23.601294,355030832000058,3550308005099,53,MOEMA,12,VILA MARIANA,Sul,Sul 1,FEIRAO DA ECONOMIA DE MOEMA,6141-7,TV JORNALISTA OTAVIO MUNIZ,S/N,MOEMA,ENTRE RUAS TUIM E INHAMBU
875,-46.484267,-23.589459,355030861000021,3550308005243,61,PERUS,1,PERUS,Norte,Norte 2,PERUS,6151-4,RUA ANTONIO BARTOLOMEU,S/N,VL PERUS,
721,-46.692232,-23.660173,355030873000135,3550308005208,73,SAO MATEUS,30,SAO MATEUS,Leste,Leste 2,JARDIM NOVE DE JULHO,6155-7,RUA DAS CAPITANIAS,S/N,JD NOVE DE JULHO,RUA DR PAULO DE QUEIROZ
432,-46.395466,-23.510366,355030816000068,3550308005171,16,CAMPO GRANDE,14,SANTO AMARO,Sul,Sul 2,CHACARA FLORA,6161-1,RUA FREI CANISIO,S/N,VL SOFIA,
682,-46.412486,-23.590762,355030836000098,3550308005256,36,ITAIM PAULISTA,24,ITAIM PAULISTA,Leste,Leste 2,CONJ HABIT PADRE NILDO,6165-4,RUA ARACARANA,S/N,VL SAO JOSE,
75,-46.405919,-23.593088,355030825000115,3550308005271,25,CIDADE TIRADENTES,31,CIDADE TIRADENTES,Leste,Leste 2,CIDADE TIRADENTES,6166-2,RUA DONA ELOA DO VALLE QUADROS,S/N,CID TIRADENTES,
343,-46.403552,-23.558271,355030831000048,3550308005266,31,GUAIANASES,28,GUAIANASES,Leste,Leste 2,JARDIM SAO PAULO,6169-7,RUA ALVARO DA COSTA,S/N,JARDIM SAO PAULO,GUAIANAZES
763,-46.713098,-23.472459,355030863000125,3550308005115,64,PIRITUBA,2,PIRITUBA / JARAGUA,Norte,Norte 1,SERRA DO CACHIMBO,6170-0,RUA SERRA DO CACHIMBO,,JARDIM VITORIA,PIRITUBA
